s_num,ep_num,nth_s_ep,seg_num,seg_name,seg_url
1,Episode_7,14,5,Father Reynaldo Rivera,https://unsolvedmysteries.fandom.com//wiki/Father_Reynaldo_Rivera
1,Episode_7,14,5,Father John Kerrigan,https://unsolvedmysteries.fandom.com//wiki/Father_John_Kerrigan
1,Episode_7,14,6,Mystery Rock,https://unsolvedmysteries.fandom.com//wiki/Mystery_Rock
1,Episode_8,15,1,Ann Sigmin and Garey Goff,https://unsolvedmysteries.fandom.com//wiki/Ann_Sigmin_and_Garey_Goff
1,Episode_8,15,2,Don Henry and Kevin Ives,https://unsolvedmysteries.fandom.com//wiki/Don_Henry_and_Kevin_Ives
1,Episode_8,15,3,Steven Cox,https://unsolvedmysteries.fandom.com//wiki/Steven_Cox
1,Episode_8,15,4,Robert Matthews,https://unsolvedmysteries.fandom.com//wiki/Robert_Matthews
1,Episode_8,15,4,Kristina Florence,https://unsolvedmysteries.fandom.com//wiki/Kristina_Florence
1,Episode_8,15,5,Rogest Cain,https://unsolvedmysteries.fandom.com//wiki/Rogest_Cain
1,Episode_9,16,1,Jenny Pratt,https://unsolvedmysteries.fandom.com//wiki/Jenny_Pratt
1,Episode_9,16,2,Joe Shepherd,https://unsolvedmysteries.fandom.com//wiki/Joe_Shepherd
1,Episode_9,16,3,Jack Quinn,https://unsolvedmysteries.fandom.com//wiki/Jack_Quinn
1,Episode_9,16,4,Clarence and Geneva Roberts,https://unsolvedmysteries.fandom.com//wiki/Clarence_and_Geneva_Roberts
1,Episode_9,16,5,Bruno and Bobo,https://unsolvedmysteries.fandom.com//wiki/Bruno_and_Bobo
1,Episode_10,17,1,Philip Pelletier,https://unsolvedmysteries.fandom.com//wiki/Philip_Pelletier
1,Episode_10,17,2,Lancaster Extortion Writer,https://unsolvedmysteries.fandom.com//wiki/Lancaster_Extortion_Writer
1,Episode_10,17,3,Steven Cox,https://unsolvedmysteries.fandom.com//wiki/Steven_Cox
1,Episode_10,17,4,Matthew Chase,https://unsolvedmysteries.fandom.com//wiki/Matthew_Chase
1,Episode_10,17,5,Marilu Geri,https://unsolvedmysteries.fandom.com//wiki/Marilu_Geri
1,Episode_10,17,6,The Family of Dolores Valadez,https://unsolvedmysteries.fandom.com//wiki/The_Family_of_Dolores_Valadez
1,Episode_11,18,1,Lee Selwyn,https://unsolvedmysteries.fandom.com//wiki/Lee_Selwyn
1,Episode_11,18,2,Steven Cox,https://unsolvedmysteries.fandom.com//wiki/Steven_Cox
1,Episode_11,18,3,Michael Rosenblum,https://unsolvedmysteries.fandom.com//wiki/Michael_Rosenblum
1,Episode_11,18,4,Rogest Cain,https://unsolvedmysteries.fandom.com//wiki/Rogest_Cain
1,Episode_11,18,5,Arthur Frankford,https://unsolvedmysteries.fandom.com//wiki/Arthur_Frankford
1,Episode_12,19,1,Jeremy Bright,https://unsolvedmysteries.fandom.com//wiki/Jeremy_Bright
1,Episode_12,19,2,John Martin,https://unsolvedmysteries.fandom.com//wiki/John_Martin
1,Episode_12,19,3,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Heirs_of_Dan_Willains
1,Episode_12,19,4,Leo Koury,https://unsolvedmysteries.fandom.com//wiki/Leo_Koury
1,Episode_12,19,5,Michaela Garecht,https://unsolvedmysteries.fandom.com//wiki/Michaela_Garecht
